Date,High,Low,Open,Close,Volume,Adj Close
2014-09-16,468.1740112,452.4219971,465.8640137,457.3340149,21056800,457.3340149
2014-09-17,456.8599854,413.1040039,456.8599854,424.4400024,34483200,424.4400024
2014-09-18,427.8349915,384.5320129,424.1029968,394.79599,37919700,394.79599
2014-09-19,423.29599,389.8829956,394.6730042,408.9039917,36863600,408.9039917
2014-09-20,412.4259949,393.1809998,408.0849915,398.8210144,26580100,398.8210144
2014-09-21,406.9159851,397.1300049,399.1000061,402.1520081,24127600,402.1520081
2014-09-22,441.5570068,396.196991,402.0920105,435.7909851,45099500,435.7909851
2014-09-23,436.1119995,421.1319885,435.7510071,423.2049866,30627700,423.2049866
2014-09-24,423.519989,409.4679871,423.1560059,411.5740051,26814400,411.5740051
2014-09-25,414.9379883,400.0090027,411.4289856,404.4249878,21460800,404.4249878
2014-09-26,406.6229858,397.3720093,403.5559998,399.519989,15029300,399.519989
2014-09-27,401.0169983,374.3320007,399.4710083,377.1809998,23613300,377.1809998
2014-09-28,385.2109985,372.2399902,376.928009,375.4670105,32497700,375.4670105
2014-09-29,390.9769897,373.4429932,376.0880127,386.9440002,34707300,386.9440002
2014-09-30,391.3789978,380.7799988,387.427002,383.6149902,26229400,383.6149902
2014-10-01,385.4970093,372.9460144,383.9880066,375.071991,21777700,375.071991
2014-10-02,377.6950073,357.8590088,375.1809998,359.5119934,30901200,359.5119934
2014-10-03,364.4869995,325.8859863,359.8919983,328.8659973,47236500,328.8659973
2014-10-04,341.8009949,289.29599,328.9159851,320.5100098,83308096,320.5100098
2014-10-05,345.1340027,302.5599976,320.3890076,330.07901,79011800,330.07901
2014-10-06,339.2470093,320.4819946,330.5840149,336.1870117,49199900,336.1870117
2014-10-07,354.3640137,327.1879883,336.1159973,352.9400024,54736300,352.9400024
2014-10-08,382.7260132,347.6870117,352.7479858,365.026001,83641104,365.026001
2014-10-09,375.0669861,352.9630127,364.6870117,361.5620117,43665700,361.5620117
2014-10-10,367.1910095,355.9509888,361.3619995,362.2990112,13345200,362.2990112
2014-10-11,379.4330139,356.1440125,362.6059875,378.5490112,17552800,378.5490112
2014-10-12,397.2260132,368.8970032,377.92099,390.4140015,35221400,390.4140015
