Symbol,Name,MarketCap
Bitcoin,BTC-USD,333.144B
Ethereum,ETH-USD,60.28B
XRP,XRP-USD,25.72B
Tether,USDT-USD,18.973B
BitcoinCash,BCH-USD,5.386B
Litecoin,LTC-USD,5.122B
Chainlink,LINK-USD,5.023B
Polkadot2,DOT2-USD,4.942B
Polkadot1,DOT1-USD,4.371B
BinanceCoin,BNB-USD,4.315B
Cardano,ADA-USD,4.303B
Stellar,XLM-USD,3.842B
BitcoinSV,BSV-USD,3.332B
EOS,EOS-USD,2.963B
Monero,XMR-USD,2.153B
TRON,TRX-USD,2.154B
Tezos,XTZ-USD,1.801B
NEM,XEM-USD,1.6B
CounosX,CCXX-USD,1.371B
Cosmos2,ATOM2-USD,1.327B
NEO,NEO-USD,1.266B
Cosmos1,ATOM1-USD,1.184B
VeChain,VET-USD,936.211M
Dash,DASH-USD,921.381M
IOTA,MIOTA-USD,883.402M
Zcash,ZEC-USD,769.297M
EthereumClassic,ETC-USD,749.471M
Waves,WAVES-USD,657.657M
THETA,THETA-USD,645.54M
OmiseGO,OMG-USD,560.17M
Ontology,ONT-USD,498.653M
Dogecoin,DOGE-USD,430.096M
BitcoinPoS,BPS-USD,381.953M
Kusama,KSM-USD,365.592M
Algorand,ALGO-USD,364.913M
BasicAttentionToken,BAT-USD,347.939M
Creditcoin3,CTC3-USD,327.2M
DigiByte,DGB-USD,324.91M
Creditcoin1,CTC1-USD,320.943M
Creditcoin2,CTC2-USD,312.367M
0x,ZRX-USD,307.53M
Zilliqa,ZIL-USD,286.615M
Qtum,QTUM-USD,258.718M
Decred,DCR-USD,248.008M
ICON,ICX-USD,244.953M
Celo,CELO-USD,226.777M
HederaHashgraph,HBAR-USD,210.468M
KyberNetwork,KNC-USD,208.236M
Loopring,LRC-USD,204.777M
EnergyWebToken,EWT-USD,199.745M
Vitae,VITAE-USD,184.092M
ABBCCoin,ABBC-USD,178.187M
LargoCoin,LRG-USD,170.453M
Augur,REP-USD,168.549M
Blockstack1,STX1-USD,166.609M
Lisk,LSK-USD,161.413M
Blockstack2,STX2-USD,164.698M
BitcoinGold,BTG-USD,157.936M
Terra2,LUNA2-USD,153.168M
Siacoin,SC-USD,148.614M
Terra1,LUNA1-USD,143.554M
Status,SNT-USD,139.98M
Nano,NANO-USD,136.183M
Horizen,ZEN-USD,133.158M
Aragon,ANT-USD,127.957M
Elrond,EGLD-USD,125.027M
DeFiChain,DFI-USD,118.302M
Solana2,SOL2-USD,112.629M
Ravencoin,RVN-USD,109.786M
Verge,XVG-USD,109.445M
Cryptonex,CNX-USD,109.284M
TerraKRW,KRT-USD,108.727M
Golem,GNT-USD,105.289M
BitcoinDiamond,BCD-USD,100.061M
NewYorkExchange,NYE-USD,99.77M
XinFinNetwork,XDC-USD,98.523M
Bytom,BTM-USD,93.249M
MonaCoin,MONA-USD,93.054M
Helium2,HNT2-USD,90.519M
Avalanche,AVAX-USD,88.011M
Solana1,SOL1-USD,88.187M
Bancor,BNT-USD,86.534M
IOST,IOST-USD,85.838M
Beldex,BDX-USD,84.527M
Arweave,AR-USD,83.327M
NervosNetwork,CKB-USD,81.92M
Metacoin3,MTC3-USD,81.718M
Metacoin1,MTC1-USD,78.142M
Metacoin2,MTC2-USD,81.478M
Ardor,ARDR-USD,79.149M
iExecRLC,RLC-USD,75.91M
IoTeX,IOTX-USD,73.833M
GreenPower,GRN-USD,73.251M
BaerChain,BRC-USD,71.765M
Storj,STORJ-USD,71.352M
Gnosis,GNO-USD,69.95M
Komodo,KMD-USD,69.524M
BitShares,BTS-USD,69.604M
Helium1,HNT1-USD,69.456M
Steem,STEEM-USD,68.507M
Divi,DIVI-USD,67.437M
MaidSafeCoin,MAID-USD,67.264M
Joule,JUL-USD,61.676M
Velas,VLX-USD,60.656M
MimbleWimbleCoin,MWC-USD,59.61M
CounosCoin,CCA-USD,58.213M
Wanchain,WAN-USD,56.922M
WAX,WAXP-USD,55.213M
StratisX,STRAX-USD,54.966M
Hive,HIVE-USD,54.297M
Civic,CVC-USD,54.083M
IRISnet,IRIS-USD,52.122M
DARMACash,DMCH-USD,51.593M
TomoChain,TOMO-USD,51.336M
Serum,SRM-USD,50.64M
ThetaFuel,TFUEL-USD,50.541M
Electroneum,ETN-USD,49.366M
Syscoin,SYS-USD,49.117M
Ark,ARK-USD,49.031M
WhiteCoin,XWC-USD,48.99M
Energi,NRG-USD,47.024M
AXEL,AXEL-USD,46.852M
Zcoin,XZC-USD,43.686M
HyperCash,HC-USD,42.571M
Aeternity,AE-USD,41.369M
StratisT,STRAT-USD,40.952M
MCO,MCO-USD,41.304M
Harmony1,ONE1-USD,39.809M
Loki,LOKI-USD,37.213M
Harmony2,ONE2-USD,37.144M
Harmony3,ONE3-USD,36.15M
WaykiChain,WICC-USD,35.853M
Aion,AION-USD,35.809M
Helleniccoin,HNC-USD,35.558M
Handshake,HNS-USD,35.554M
XeniosCoin,XNC-USD,35.115M
VoyagerToken,VGX-USD,34.291M
NerveNetwork,NVT-USD,34.265M
VSystems,VSYS-USD,31.982M
Bytecoin,BCN-USD,31.962M
ReddCoin,RDD-USD,31.038M
AdEx,ADX-USD,31.029M
Bonorum,BONO-USD,30.596M
district0x,DNT-USD,30.478M
SuperZero,SERO-USD,30.225M
ThunderToken,TT-USD,29.494M
HavenProtocol,XHV-USD,29.096M
GXChain,GXC-USD,28.657M
Elastos,ELA-USD,27.96M
MetaverseDualchainNetworkArchitecture2,DNA2-USD,27.571M
Kin,KIN-USD,27.419M
Melon,MLN-USD,27.292M
COTI,COTI-USD,27.19M
MetaverseDualchainNetworkArchitecture1,DNA1-USD,26.718M
FunFair,FUN-USD,26.624M
Waltonchain,WTC-USD,26.643M
NULS,NULS-USD,25.822M
Zynecoin,ZYN-USD,24.816M
PIVX,PIVX-USD,24.614M
ChainX,PCX-USD,23.485M
Beam,BEAM-USD,22.067M
Metal,MTL-USD,22.098M
Cortex,CTXC-USD,21.094M
Nebulas,NAS-USD,19.245M
Ergo,ERG-USD,19.221M
YEPCOIN,YEP-USD,18.487M
Nimiq,NIM-USD,18.224M
Stakenet,XSN-USD,17.907M
PirateChain,ARRR-USD,17.388M
Einsteinium,EMC2-USD,17.258M
Grin,GRIN-USD,17.035M
Groestlcoin,GRS-USD,16.768M
Gas,GAS-USD,16.625M
Obyte,GBYTE-USD,16.602M
Nexalt,XLT-USD,16.204M
BitcoinHD,BHD-USD,15.872M
TrueChain,TRUE-USD,15.761M
LBRYCredits,LBC-USD,14.977M
SALT,SALT-USD,14.825M
DigixDAO,DGD-USD,14.554M
PRIZM,PZM-USD,14.014M
Dinastycoin,DCY-USD,13.626M
AdvancedInternetBlocks,AIB-USD,13.618M
Unobtanium,UNO-USD,13.562M
MediBlocQRC20,MED-USD,13.298M
Nexus,NXS-USD,13.273M
Fusion,FSN-USD,12.908M
SaluS,SLS-USD,12.723M
NKN,NKN-USD,12.381M
BHPCoin,BHP-USD,12.412M
ApolloCurrency,APL-USD,12.328M
Constellation,DAG-USD,12.199M
ProjectPai,PAI-USD,11.878M
Sapphire,SAPP-USD,11.842M
RChain,REV-USD,11.658M
Massnet,MASS-USD,11.416M
QASH,QASH-USD,11.398M
PLATINCOIN,PLC-USD,10.898M
MetaverseETP,ETP-USD,10.532M
Bitcoin2,BTC2-USD,10.317M
Populous,PPT-USD,10.317M
PhalaNetwork,PHA-USD,10.261M
Kadena,KDA-USD,10.247M
Veritaseum,VERI-USD,10.093M
Blocknet,BLOCK-USD,10.216M
Zenon,ZNN-USD,10.007M
QuantumResistantLedger,QRL-USD,9.963M
Factom,FCT-USD,10.018M
Nxt,NXT-USD,9.835M
