carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
13207,hyundi, Santa Fe,2019,Semi-Auto,4223,Diesel,145,39.8,2.2,31995
17314,vauxhall, GTC,2015,Manual,47870,Diesel,125,60.1,2,7700
12342,audi, RS4,2019,Automatic,5151,Petrol,145,29.1,2.9,58990
13426,vw, Scirocco,2016,Automatic,20423,Diesel,30,57.6,2,12999
16004,skoda, Scala,2020,Semi-Auto,3569,Petrol,145,47.1,1,16990
18964,merc, V Class,2019,Automatic,4170,Diesel,145,44.1,2.1,40890
17053,toyota, Prius,2020,Automatic,3,Hybrid,135,64.2,1.8,25990
19021,bmw, M4,2019,Semi-Auto,101,Petrol,145,34,3,41980
17429,toyota, Camry,2019,Automatic,6340,Hybrid,135,52.3,2.5,25490
16726,ford, KA,2012,Manual,85843,Petrol,30,57.7,1.2,3491
17081,vauxhall, Vivaro,2016,Manual,40230,Diesel,160,50.4,1.6,13750
18995,merc, CLS Class,2016,Automatic,47156,Diesel,125,57.7,2.1,17999
13055,vw, Caravelle,2019,Automatic,5000,Diesel,145,33.6,2,46050
12510,vw, Arteon,2018,Semi-Auto,20656,Petrol,145,47.1,2,20498
13430,vw, Shuttle,2018,Manual,31824,Diesel,145,47.1,2,22750
19049,hyundi, I40,2019,Manual,20,Diesel,145,52.3,1.6,16000
17822,hyundi, IX20,2015,Automatic,34878,Petrol,200,43.6,1.6,6890
16655,hyundi, Santa Fe,2019,Automatic,9970,Diesel,145,39.2,2.2,31269
18480,bmw, 6 Series,2017,Semi-Auto,18895,Diesel,145,51.4,3,25998
16270,merc, GL Class,2016,Automatic,11653,Diesel,20,67.3,2.1,17999
14435,merc, S Class,2017,Automatic,12653,Diesel,145,52.3,3,37500
13161,ford, KA,2015,Manual,17041,Petrol,30,57.7,1.2,4995
12817,audi, S3,2015,Manual,48800,Petrol,205,39.8,2,17950
12857,skoda, Yeti,2016,Semi-Auto,13156,Petrol,125,51.4,1.2,13495
13738,ford, Galaxy,2009,Manual,58000,Diesel,200,44.8,1.8,5475
18374,ford, Puma,2020,Manual,363,Petrol,145,50.4,1,23000
13105,ford, Edge,2016,Manual,24105,Diesel,160,48.7,2,18640
15122,audi, A8,2019,Automatic,2117,Diesel,145,40.4,3,41606
17363,merc, SLK,2013,Semi-Auto,44226,Diesel,145,56.5,2,10498
16597,vw, Scirocco,2016,Manual,44015,Diesel,30,53.3,2,12912
15848,merc, CLS Class,2016,Automatic,16107,Diesel,160,51.4,3,20399
15114,skoda, Kamiq,2019,Semi-Auto,3597,Petrol,145,44.1,1.5,20999
13714,merc, CLS Class,2016,Semi-Auto,29306,Diesel,160,51.4,3,21998
14648,audi, RS6,2016,Semi-Auto,22500,Petrol,325,29.4,4,49950
13750,toyota, Prius,2017,Automatic,20828,Hybrid,135,94.1,1.8,18995
13995,skoda, Scala,2019,Automatic,510,Diesel,145,54.3,1.6,16490
15017,vw, Scirocco,2016,Manual,40000,Petrol,125,52.3,1.4,11850
14255,vw, Arteon,2019,Semi-Auto,5101,Diesel,145,50.4,2,26090
18540,skoda, Scala,2019,Manual,1149,Petrol,145,49.6,1,15650
13827,toyota, Prius,2017,Automatic,33710,Hybrid,135,94.1,1.8,17800
12626,merc, CLA Class,2017,Automatic,53159,Diesel,125,58.9,2.1,17590
17894,vw, Caravelle,2006,Manual,106000,Diesel,325,34.4,2.5,14495
16871,toyota, Land Cruiser,2019,Semi-Auto,16634,Diesel,145,30.1,2.8,42995
13987,merc, V Class,2019,Automatic,10,Diesel,145,36.7,2,49991
14061,merc, M Class,2015,Semi-Auto,43339,Diesel,200,39.2,2.1,21498
12573,merc, S Class,2009,Automatic,122000,Diesel,325,36.7,3,7724
15725,hyundi, I40,2016,Manual,18340,Diesel,125,60.1,1.7,12995
15629,vw, Arteon,2020,Semi-Auto,2555,Diesel,145,53.3,2,29990
18127,merc, V Class,2018,Semi-Auto,40479,Diesel,145,45.6,2.2,29998
13957,audi, Q8,2019,Automatic,4278,Diesel,145,33.6,3,50786
13304,bmw, i3,2017,Automatic,20929,Hybrid,135,470.8,0,19948
12774,toyota, Verso,2017,Semi-Auto,19807,Petrol,200,42.8,1.8,12990
12733,hyundi, Santa Fe,2016,Automatic,20960,Diesel,235,42.8,2.2,16999
19535,merc, CLS Class,2018,Automatic,16568,Diesel,145,48.7,2.9,34390
12144,ford, Mustang,2017,Manual,20700,Petrol,150,20.9,5,27500
16299,vw, Arteon,2019,Manual,40,Diesel,150,52.3,2,27498
13920,merc, CLS Class,2017,Semi-Auto,31479,Diesel,145,57.7,2.1,22490
19103,hyundi, IX35,2011,Manual,79000,Petrol,205,41.5,1.6,5475
17287,vw, Amarok,2015,Manual,43935,Diesel,260,35.3,2,18995
17146,toyota, Avensis,2018,Automatic,35507,Petrol,145,44.1,1.8,12998
18095,ford, Grand Tourneo Connect,2017,Manual,17442,Diesel,30,64.2,1.5,12298
18554,ford, Galaxy,2016,Semi-Auto,20486,Diesel,145,52.3,2,20995
12271,toyota, Prius,2016,Automatic,23300,Hybrid,0,85.6,1.8,18690
16431,vauxhall, Antara,2014,Manual,27495,Diesel,235,44.1,2.2,6790
18935,skoda, Scala,2019,Other,3500,Petrol,145,47.1,1,15999
12864,merc, M Class,2008,Automatic,110000,Diesel,555,28.8,3,5990
19110,ford, Puma,2019,Manual,1085,Petrol,145,51.4,1,20000
18626,ford, Tourneo Connect,2020,Automatic,409,Diesel,145,44.1,1.5,20950
14590,vw, Beetle,2015,Manual,55239,Petrol,145,47.9,1.2,7795
18512,bmw, X4,2017,Automatic,58056,Diesel,145,54.3,2,22000
14983,merc, SLK,2008,Automatic,65000,Petrol,290,34.4,1.8,6775
18999,vw, CC,2015,Semi-Auto,54231,Diesel,150,53.3,2,9995
15719,ford, Edge,2016,Automatic,24641,Diesel,160,48.7,2,19999
15162,bmw, M4,2020,Semi-Auto,1000,Petrol,145,34,3,49980
18468,toyota, GT86,2017,Manual,26919,Petrol,260,36.2,2,15998
17832,merc, GL Class,2013,Automatic,60462,Diesel,325,35.3,3,25998
13321,bmw, X4,2015,Manual,53197,Diesel,160,52.3,2,18390
15401,merc, X-CLASS,2019,Automatic,500,Diesel,260,35.8,2.3,24945
16001,bmw, X4,2016,Automatic,42576,Diesel,200,47.9,3,20500
13112,hyundi, I800,2016,Automatic,17110,Diesel,325,33.6,2.5,14998
12567,bmw, i8,2018,Automatic,11278,Hybrid,135,134.5,1.5,57870
12366,merc, S Class,2019,Semi-Auto,7659,Diesel,145,52.3,3,46980
